Perfil;Campus;Area;AtivAdm;SitTrab;Capacitacao;Qualificacao;Qualicursos;apoiofin;DistCHDoc;DistCHTae;Qualivida;Saudeocupa;Divulgacarr;ClimaOrg;Motivacao;OrgCol[DivDec];OrgCol[ImplDec];OrgCol[RepOrgCol];AvaliaSetores[REIT];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PRINF];AvaliaSetores[PRGPE];AvaliaSetores[PRPLA];AvaliaSetores[DIAFF];AvaliaSetores[DII];AvaliaSetores[DIAVI];AvaliaSetores[DRI];AvaliaSetores[DI];AvaliaSetores[DIRGGV];AvaliaSetores[DUX];AvaliaSetores[CDX];EstReg;RegUni;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[InCapS];AplRF[BProj];AplRF[BMoTP];TrInv
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Presencial;Discordo;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não sei / Não se aplica;Concordo;Concordo;Discordo;Concordo;Concordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Avançado Governador Valadares;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Concordo;Concordo totalmente;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Discordo totalmente;Concordo;Concordo;Concordo;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Não exerci atividade de chefia;Remoto;Discordo;Concordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Discordo
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências Humanas, Sociais e Aplicadas;Diretor(a) ou vice-diretor(a) de unidade acadêmica ou de setor administrativo;Remoto;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Outros cargos de chefia;Semi-presencial;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo totalmente;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências Humanas, Sociais e Aplicadas;Diretor(a) ou vice-diretor(a) de unidade acadêmica ou de setor administrativo;Semi-presencial;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Discordo;Concordo totalmente;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo totalmente
Servidor(a) Docente;UFJF - Campus Avançado Governador Valadares;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Semi-presencial;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo
Servidor(a) TAE  (Técnico-administrativo em Educação);UFJF - Campus Juiz de Fora;"Setores da Administração Central (Por exemplo: Pró-reitorias; RestauranteUniversitário, Biblioteca, etc.)";Outros cargos de chefia;Semi-presencial;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Não exerci atividade de chefia;Remoto;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo
Servidor(a) Docente;UFJF - Campus Juiz de Fora;Ciências da Saúde, Biológicas, Exatas, Engenharias e Ciência da Computação;Coordenador(a) ou vice-Coordenador(a) de curso de graduação ou de programa de pós-graduação;Presencial;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Discordo
